일시,최저기온(°C),최고기온(°C),강수량,최대 풍속(m/s),최다풍향,평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균가격(원)
2020-01-02,-4.8,4.0,3.328571429,8.0,290.0,-5.1,65.6,1002.4,23825.0
2020-01-03,-1.9,5.3,3.971428571,7.2,290.0,-6.9,52.9,999.3,20758.48935953993
2020-01-04,-6.3,5.7,4.614285714,6.8,290.0,-6.5,61.4,999.0,29777.6167420384
2020-01-06,-4.6,3.7,5.9,2.7,320.0,-2.1,81.3,1002.0,28609.44804471525
2020-01-07,3.0,9.4,58.4,3.4,320.0,6.5,100.0,987.1,28631.75037121793
2020-01-08,2.8,12.7,2.1,10.5,320.0,1.8,80.0,986.7,24859.84098585702
2020-01-09,-1.0,2.9,1.909090909,7.9,290.0,-5.4,65.6,996.2,24094.3762473371
2020-01-10,-5.9,5.8,1.718181818,6.9,320.0,-5.5,69.4,996.8,22990.93346238502
2020-01-11,-4.7,4.8,1.527272727,7.7,290.0,-6.2,63.5,993.1,21830.42176630174
2020-01-13,-3.4,1.8,1.145454545,8.1,290.0,-9.0,55.5,995.4,21367.27630151718
2020-01-14,-6.2,3.6,0.954545455,6.1,290.0,-10.5,50.9,998.7,22417.84093639069
2020-01-15,-6.9,2.4,0.763636364,6.4,290.0,-11.4,47.5,1001.0,23109.99743824946
2020-01-16,-8.3,4.5,0.572727273,5.7,320.0,-10.7,56.1,999.8,22800.48370747575
2020-01-17,-7.0,6.9,0.381818182,2.8,320.0,-7.7,63.6,996.4,23301.77350301564
2020-01-18,-3.1,6.7,0.190909091,6.0,290.0,-8.1,55.1,994.5,24148.51057991227
2020-01-19,-1.8,5.4,0.0,6.8,320.0,-4.8,60.6,992.6,17918.35051546392
2020-01-20,-0.5,4.7,0.125,7.6,290.0,-6.3,55.8,995.3,21983.01128121564
2020-01-21,-7.6,4.9,0.25,7.1,290.0,-9.9,55.4,1003.5,26113.79939648233
2020-01-22,-3.1,4.5,0.375,2.6,320.0,-7.2,54.3,999.9,25423.36034868396
2020-01-23,0.3,9.0,0.5,2.5,160.0,0.9,84.3,997.5,15309.34653757234
2020-01-24,-1.7,10.2,0.525,3.3,160.0,0.0,84.9,1004.2,20000.0
2020-01-28,-0.8,10.9,0.0,3.9,20.0,-0.1,68.9,991.7,16544.22348484849
2020-01-29,-3.3,9.1,0.1,2.4,340.0,-1.5,75.5,990.1,23089.01702495368
2020-01-30,-1.2,8.0,0.0,4.0,320.0,-1.5,75.3,989.4,20608.25083267816
2020-01-31,-1.5,6.8,0.05,5.3,290.0,-1.6,78.1,993.7,25244.80756043369
